# packages in environment at C:\Users\Foad\.conda\envs\tf-gpu-py364:
#
# Name                    Version                   Build  Channel
_tflow_select             2.1.0                       gpu
qtpy                      1.9.0                      py_0
requests                  2.22.0                   py36_0
rope                      0.14.0                     py_0
scipy                     1.3.1            py36h29ff71c_0
send2trash                1.5.0                    py36_0
setuptools                41.4.0                   py36_0
sip                       4.19.8           py36h6538335_0
six                       1.12.0                   py36_0
snowballstemmer           2.0.0                      py_0
sphinx                    2.2.0                      py_0
sphinxcontrib-applehelp   1.0.1                      py_0
sphinxcontrib-devhelp     1.0.1                      py_0
sphinxcontrib-htmlhelp    1.0.2                      py_0
sphinxcontrib-jsmath      1.0.1                      py_0
sphinxcontrib-qthelp      1.0.2                      py_0
sphinxcontrib-serializinghtml 1.1.3                      py_0
spyder                    3.3.6                    py36_0
spyder-kernels            0.5.2                    py36_0
sqlite                    3.30.0               he774522_0
tensorboard               1.13.1           py36h33f27b4_0
tensorflow                1.13.1          gpu_py36h9006a92_0
tensorflow-base           1.13.1          gpu_py36h871c8ca_0
tensorflow-estimator      1.13.0                     py_0
tensorflow-gpu            1.13.1               h0d30ee6_0
termcolor                 1.1.0                    py36_1
terminado                 0.8.3                    py36_0
testpath                  0.4.2                    py36_0
tornado                   6.0.3            py36he774522_0
traitlets                 4.3.3                    py36_0
typed-ast                 1.4.0            py36he774522_0
urllib3                   1.24.2                   py36_0
vc                        14.1                 h0510ff6_4
vs2015_runtime            14.16.27012          hf0eaf9b_0
wcwidth                   0.1.7            py36h3d5aa90_0
webencodings              0.5.1                    py36_1
werkzeug                  0.16.0                     py_0
wheel                     0.33.6                   py36_0
win_inet_pton             1.1.0                    py36_0
wincertstore              0.2              py36h7fe50ca_0
winpty                    0.4.3                         4
wrapt                     1.11.2           py36he774522_0
yaml                      0.1.7                hc54c509_2
zeromq                    4.3.1                h33f27b4_3
zlib                      1.2.11               h62dcd97_3
